Asset1,Asset2,Asset3,Asset7,Asset8,Asset9,B2B_purchase1,Capital1,CapitalRatio1,Cost1,Cost10,Cost11,Cost12,Cost13,Cost14,Cost15,Cost16,Cost17,Cost2,Cost3,Cost4,Cost5,Cost8,Cost9,Design1,Emp_female,Emp_male,Emp_total,EquityShareCapital,ITAssetC,Liability1,Liability2,Liability3,NProfitB4Tax,OutsourcingCost,Patent1,RNDcost1,RevProfit1,RevProfit2,TAssetC1,TAssetC2,TAssetC3,TAssetC4,TAssetC5,TAssetC6,TAssetC7,TAssetC8,TradeMark1,UMR1,emp2,emp3,emp4,emp6,emp66,emp7,emp8
3530,3390,,,61.0,,0.0,2002,0.0,0,65,209.0,1.0,0.0,575,21.0,9.0,0.0,11913,21,11913.0,0.0,10873,190,0.0,120.0,169.0,289,400.0,0.0,1528,1295.0,233.0,330,0.0,0.0,0.0,12246,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,169.0,120.0,13,,8.0,5.0
92695,45973,,32783.0,1240.0,1015.0,0.0,76727,74.0,0,267,124.0,15.0,95.0,7784,165.0,12.0,9.0,32921,165,32921.0,0.0,23193,1443,0.0,42.0,117.0,159,24453.0,0.0,15968,13074.0,2894.0,12307,0.0,0.0,72.0,41465,3928,830.0,0.0,0.0,0.0,791.0,0.0,39.0,0.0,4.0,0.0,159,117.0,42.0,14,,10.0,4.0
4278,3101,68.0,74.0,441.0,,0.0,2531,0.0,20782,54,614.0,0.0,2.0,2576,2.0,0.0,1.0,644,2,21426.0,537.0,17545,98,0.0,442.0,272.0,714,500.0,0.0,1747,1754.0,-7.0,1054,0.0,0.0,0.0,22239,243,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,28,21.0,7.0,10,,7.0,3.0
6507,6315,,,18.0,34.0,,525,0.0,68024,25,1794.0,1.0,0.0,3865,7.0,1.0,6.0,2090,7,70114.0,0.0,63989,440,0.0,1959.0,470.0,2429,600.0,0.0,5982,5664.0,318.0,542,,0.0,,70464,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,17.0,5.0,22,,17.0,5.0
27247,12100,,1022.0,10209.0,321.0,,23208,0.0,0,1992,197.0,41.0,7.0,12019,271.0,0.0,121.0,51751,271,51751.0,0.0,36989,506,0.0,54.0,948.0,1002,6000.0,289.0,4039,3945.0,94.0,1105,2923.0,0.0,,51887,1240,1370.0,0.0,0.0,0.0,0.0,908.0,462.0,0.0,0.0,0.0,96,85.0,11.0,96,130.0,85.0,11.0
8458,1989,,,3110.0,601.0,,5534,0.0,18388,1439,378.0,1.0,-6.0,5258,189.0,75.0,0.0,684,189,19072.0,0.0,8754,3248,0.0,194.0,54.0,248,2542.0,166.0,2924,1855.0,1069.0,-199,486.0,0.0,,19042,20,593.0,0.0,0.0,0.0,0.0,0.0,593.0,0.0,0.0,0.0,248,54.0,194.0,167,480.0,32.0,135.0
4006,2439,,35.0,1489.0,,,2709,0.0,0,148,234.0,24.0,14.0,897,23.0,23.0,0.0,9247,23,9247.0,0.0,7804,126,0.0,90.0,299.0,389,500.0,0.0,1297,584.0,713.0,830,,0.0,,10078,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389,299.0,90.0,8,,5.0,3.0
1900,1374,,7.0,42.0,1.0,,1364,0.0,0,0,308.0,1.0,0.0,124,13.0,0.0,0.0,5066,13,5066.0,0.0,4619,14,0.0,74.0,141.0,215,300.0,0.0,536,536.0,,120,,0.0,,5175,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,141.0,74.0,9,,7.0,2.0
25500,6783,,7674.0,1101.0,365.0,,17225,0.0,0,889,381.0,137.0,62.0,23733,871.0,373.0,0.0,34562,871,34562.0,0.0,7240,2120,0.0,45.0,119.0,164,6202.0,0.0,8275,7807.0,468.0,1952,,0.0,,36124,1261,640.0,0.0,0.0,0.0,0.0,0.0,640.0,0.0,1.0,0.0,98,72.0,26.0,27,,21.0,6.0
2567,2560,,,3.0,4.0,,1091,0.0,13996,12,449.0,5.0,0.0,949,10.0,0.0,1.0,773,10,14769.0,0.0,13328,26,0.0,279.0,366.0,645,800.0,0.0,1476,1476.0,,207,283.0,0.0,,14940,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645,366.0,279.0,13,223.0,11.0,2.0
2348,1517,,12.0,445.0,,,1165,0.0,0,4,277.0,1.0,0.0,1019,72.0,58.0,1.0,12285,72,12285.0,0.0,10935,49,0.0,35.0,320.0,355,1000.0,0.0,1183,327.0,856.0,128,,0.0,,12447,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355,320.0,35.0,8,45.0,6.0,2.0
3643,2181,,589.0,313.0,102.0,,2359,0.0,0,35,247.0,38.0,0.0,1017,33.0,23.0,0.0,9642,33,9642.0,0.0,7491,814,0.0,92.0,37.0,129,450.0,0.0,1284,1284.0,,265,,0.0,,9931,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,37.0,92.0,14,0.0,7.0,7.0
112432,66717,,15472.0,5438.0,3172.0,,84279,45.0,124892,2402,3808.0,51.0,238.0,16350,507.0,334.0,0.0,5414,507,130306.0,0.0,100982,6475,0.0,3480.0,577.0,4057,30000.0,435.0,28153,22118.0,6035.0,18139,147.0,0.0,,145697,3255,1818.0,0.0,0.0,0.0,0.0,14.0,1804.0,0.0,0.0,0.0,359,50.0,309.0,45,55.0,13.0,32.0
913,856,,5.0,1.0,,,847,0.0,0,1,1.0,1.0,7.0,124,1.0,0.0,0.0,1711,1,1711.0,0.0,1561,16,0.0,40.0,45.0,85,500.0,0.0,66,66.0,,31,10.0,0.0,,1736,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,45.0,40.0,5,,3.0,2.0
2204,2117,,36.0,2.0,3.0,,981,0.0,0,2,22.0,1.0,0.0,357,40.0,39.0,0.0,3465,40,3465.0,0.0,3066,17,0.0,60.0,148.0,208,500.0,0.0,1223,1130.0,93.0,101,,0.0,,3440,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,148.0,60.0,10,,4.0,6.0
41908,35991,,3591.0,134.0,,,16115,100.0,170505,112,1055.0,63.0,2.0,41637,2.0,0.0,0.0,12421,2,182926.0,0.0,139527,530,0.0,2690.0,2404.0,5094,2100.0,0.0,25793,22351.0,3442.0,4000,,0.0,,186339,589,94.0,0.0,0.0,0.0,0.0,26.0,68.0,0.0,1.0,0.0,3798,1805.0,1993.0,105,,55.0,50.0
305989,120505,629.0,3011.0,138056.0,4523.0,27709.0,144800,0.0,0,31946,614.0,2130.0,2848.0,114868,16951.0,14224.0,239.0,249576,16951,249576.0,0.0,94451,2719,5.0,69.0,2699.0,2768,35683.0,1453.0,161189,111000.0,50189.0,-7517,75846.0,28.0,,257029,1981,59440.0,0.0,0.0,0.0,59019.0,369.0,971.0,-919.0,56.0,1.0,193,191.0,2.0,181,,180.0,1.0
134086,62463,,36445.0,31819.0,1785.0,,31006,0.0,34965,8773,382.0,0.0,0.0,0,3925.0,3914.0,0.0,7087,3925,42052.0,15342.0,10129,7426,0.0,20.0,250.0,270,6200.0,300.0,103080,68443.0,34637.0,2185,,1.0,,46902,1260,6121.0,0.0,0.0,0.0,4715.0,6.0,1014.0,386.0,0.0,0.0,90,80.0,10.0,10,,9.0,1.0
